INFO 2022-11-07 20:22:23 {'user': 'gregory.faupin', 'cart': 4954, 'order': 481, 'produit': 1197, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-07 20:22:35 {'user': 'gregory.faupin', 'cart': 4955, 'order': 481, 'produit': 1236, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 3}
INFO 2022-11-07 20:22:35 {'user': 'gregory.faupin', 'cart': 4955, 'order': 481, 'produit': 1236, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 5.0}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'cart': 4956, 'order': 487, 'produit': 735, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'cart': 4956, 'order': 487, 'produit': 735, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'cart': 4957, 'order': 487, 'produit': 1230, 'action': 'Create', 'field': 'qte', 'old_data': '', 'new_data': 1}
INFO 2022-11-07 20:25:41 {'user': 'gregory.faupin', 'cart': 4957, 'order': 487, 'produit': 1230, 'action': 'Create', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:32:48 {'user': 'gregory.faupin', 'cart': 4958, 'order': 471, 'produit': 1216, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:32:48 {'user': 'gregory.faupin', 'cart': 4958, 'order': 471, 'produit': 1216, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:32:58 {'user': 'gregory.faupin', 'cart': 4959, 'order': 471, 'produit': 735, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:32:58 {'user': 'gregory.faupin', 'cart': 4959, 'order': 471, 'produit': 735, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:33:15 {'user': 'gregory.faupin', 'cart': 4960, 'order': 471, 'produit': 727, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
INFO 2022-11-07 20:33:15 {'user': 'gregory.faupin', 'cart': 4960, 'order': 471, 'produit': 727, 'action': 'Add', 'field': 'prix', 'old_data': '', 'new_data': 15.0}
INFO 2022-11-07 20:33:26 {'user': 'gregory.faupin', 'cart': 4961, 'order': 471, 'produit': 751, 'action': 'Add', 'field': 'qte', 'old_data': 0, 'new_data': 1}
